case_title,subject,reason,type,location,neighborhood,location_street_name,location_zipcode,latitude,longitude
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,215 W Springfield St  Roxbury  MA  02118,South End,215 W Springfield St,2118.0,42.3407,-71.0803
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,1130 Commonwealth Ave  Allston  MA  02134,Allston / Brighton,1130 Commonwealth Ave,2134.0,42.3506,-71.126
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,39 Dalton St  Boston  MA  02199,Back Bay,39 Dalton St,2199.0,42.3466,-71.0838
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Manor St & Westglow St  Dorchester  MA  ,Dorchester,INTERSECTION Manor St & Westglow St,,42.3594,-71.0587
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INTERSECTION of Warner St & Glenway St  Dorchester  MA  ,Greater Mattapan,INTERSECTION Warner St & Glenway St,,42.3594,-71.0587
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,233 Washington St  Dorchester  MA  02121,Dorchester,233 Washington St,2121.0,42.3017,-71.0774
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,14 Norton St  Dorchester  MA  02125,Dorchester,14 Norton St,2125.0,42.3068,-71.0695
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,30 Jamaicaway  Jamaica Plain  MA  02130,Mission Hill,30 Jamaicaway,2130.0,42.3308,-71.1123
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,253 Summer St  Boston  MA  02210,South Boston / South Boston Waterfront,253 Summer St,2210.0,42.3502,-71.0513
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,242 Maverick St  East Boston  MA  02128,East Boston,242 Maverick St,2128.0,42.3684,-71.0345
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Hyde Park Ave & American Legion Hwy  Roslindale  MA  ,Hyde Park,INTERSECTION Hyde Park Ave & American Legion Hwy,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Hyde Park Ave & American Legion Hwy  Roslindale  MA  ,Hyde Park,INTERSECTION Hyde Park Ave & American Legion Hwy,,42.3594,-71.0587
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,556 E Broadway  South Boston  MA  02127,South Boston / South Boston Waterfront,556 E Broadway,2127.0,42.3357,-71.042
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,1545 VFW Pkwy  West Roxbury  MA  02132,West Roxbury,1545 VFW Pkwy,2132.0,42.3594,-71.0587
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,168 Neponset Ave  Dorchester  MA  02122,Dorchester,168 Neponset Ave,2122.0,42.293,-71.0506
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,70 Standard St  Mattapan  MA  02126,Greater Mattapan,70 Standard St,2126.0,42.274,-71.0797
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,11 Beckler Ave  South Boston  MA  02127,South Boston / South Boston Waterfront,11 Beckler Ave,2127.0,42.3334,-71.0366
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,14 Linwood St  Hyde Park  MA  02136,Hyde Park,14 Linwood St,2136.0,42.2559,-71.1271
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,90 Byron St  East Boston  MA  02128,East Boston,90 Byron St,2128.0,42.3845,-71.0178
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,18 Brahms St  Roslindale  MA  02131,Roslindale,18 Brahms St,2131.0,42.2775,-71.14
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Anthony Rip Valenti Way & Canal St  Boston  MA  ,Downtown / Financial District,INTERSECTION Anthony Rip Valenti Way & Canal St,,42.3594,-71.0587
Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,890 Huntington Ave  Mission Hill  MA  02120,Mission Hill,890 Huntington Ave,2120.0,42.3321,-71.1115
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,472 Talbot Ave  Dorchester  MA  02124,Dorchester,472 Talbot Ave,2124.0,42.2889,-71.0663
Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,INTERSECTION of Public Alley No. 434 & Public Alley No. 435  Boston  MA  ,Back Bay,INTERSECTION Public Alley No. 434 & Public Alley No. 435,,42.3594,-71.0587
Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,128 Neponset Ave  Dorchester  MA  02122,Dorchester,128 Neponset Ave,2122.0,42.2943,-71.0518
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,27 A Mayfield St  Dorchester  MA  02125,Dorchester,27 A Mayfield St,2125.0,42.3167,-71.058
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,1 Everett St  East Boston  MA  02128,East Boston,1 Everett St,2128.0,42.3686,-71.0374
Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INTERSECTION of Columbus Ave & Dartmouth St  Boston  MA  ,South End,INTERSECTION Columbus Ave & Dartmouth St,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,28 Bowdoin Ave  Dorchester  MA  02121,Dorchester,28 Bowdoin Ave,2121.0,42.3025,-71.0755
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INTERSECTION of Northampton St & Tremont St  Roxbury  MA  ,Roxbury,INTERSECTION Northampton St & Tremont St,,42.3594,-71.0587
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INTERSECTION of Meridian St & Bennington St  East Boston  MA  ,East Boston,INTERSECTION Meridian St & Bennington St,,42.3594,-71.0587
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,37 Winthrop St  Roxbury  MA  02119,Roxbury,37 Winthrop St,2119.0,42.3259,-71.0808
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INTERSECTION of Faneuil Hall Marketplace & Merchants Row  Boston  MA  ,Downtown / Financial District,INTERSECTION Faneuil Hall Marketplace & Merchants Row,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,32 Derne St  Boston  MA  02114,Beacon Hill,32 Derne St,2114.0,42.3596,-71.0642
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INTERSECTION of King St & Roxbury St  Roxbury  MA  ,Roxbury,INTERSECTION King St & Roxbury St,,42.3594,-71.0587
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,22 Speedwell St  Dorchester  MA  02122,Dorchester,22 Speedwell St,2122.0,42.3042,-71.0675
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,133 Guest St  Brighton  MA  02135,Brighton,133 Guest St,2135.0,42.3594,-71.0587
Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INTERSECTION of Columbus Ave & Dartmouth St  Boston  MA  ,South End,INTERSECTION Columbus Ave & Dartmouth St,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,1101-1107 Boylston St  Boston  MA  02215,Fenway / Kenmore / Audubon Circle / Longwood,1101-1107 Boylston St,2215.0,42.3471,-71.0898
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,36 Hancock St  Boston  MA  02114,Beacon Hill,36 Hancock St,2114.0,42.3599,-71.0642
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,1445 VFW Pkwy  West Roxbury  MA  02132,West Roxbury,1445 VFW Pkwy,2132.0,42.27,-71.1725
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,386 Commonwealth Ave  Boston  MA  02215,Back Bay,386 Commonwealth Ave,2215.0,42.3486,-71.0899
Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,30 Goldsmith St  Jamaica Plain  MA  02130,Jamaica Plain,30 Goldsmith St,2130.0,42.3079,-71.1185
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,86 Tower St  Jamaica Plain  MA  02130,Jamaica Plain,86 Tower St,2130.0,42.2982,-71.1102
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,247 Webster St  East Boston  MA  02128,East Boston,247 Webster St,2128.0,42.3646,-71.032
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Boston Wharf Rd & W Service Rd  Boston  MA  ,South Boston / South Boston Waterfront,INTERSECTION Boston Wharf Rd & W Service Rd,,42.3594,-71.0587
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,771 Beacon St  Boston  MA  02215,Boston,771 Beacon St,2215.0,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Branchfield St & Butler St  Dorchester  MA  ,Dorchester,INTERSECTION Branchfield St & Butler St,,42.3594,-71.0587
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,62 Fuller St  Dorchester  MA  02124,Dorchester,62 Fuller St,2124.0,42.2828,-71.0681
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,185 Harvard St  Dorchester  MA  02121,Greater Mattapan,185 Harvard St,2121.0,42.2963,-71.0837
Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,28 Creston St  Dorchester  MA  02121,Roxbury,28 Creston St,2121.0,42.3122,-71.0788
Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INTERSECTION of Boston Wharf Rd & Seaport Blvd  Boston  MA  ,South Boston / South Boston Waterfront,INTERSECTION Boston Wharf Rd & Seaport Blvd,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,104 Queensberry St  Boston  MA  02215,Fenway / Kenmore / Audubon Circle / Longwood,104 Queensberry St,2215.0,42.3418,-71.0999
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,842 Beacon St  Boston  MA  02215,Fenway / Kenmore / Audubon Circle / Longwood,842 Beacon St,2215.0,42.3474,-71.1033
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,206 Bowen St  South Boston  MA  02127,South Boston / South Boston Waterfront,206 Bowen St,2127.0,42.3359,-71.0506
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,INTERSECTION of Charles St S & Jefferson St  Boston  MA  ,Back Bay,INTERSECTION Charles St S & Jefferson St,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Folsom St & Philbrick St  Roslindale  MA  ,Jamaica Plain,INTERSECTION Folsom St & Philbrick St,,42.3594,-71.0587
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,51 Joyce Kilmer Rd  West Roxbury  MA  02132,West Roxbury,51 Joyce Kilmer Rd,2132.0,42.2709,-71.1654
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,58 Seaverns Ave  Jamaica Plain  MA  02130,Jamaica Plain,58 Seaverns Ave,2130.0,42.3118,-71.1109
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,28 Phillips St  Boston  MA  02114,Beacon Hill,28 Phillips St,2114.0,42.3602,-71.0675
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,640 Hyde Park Ave  Roslindale  MA  02131,Roslindale,640 Hyde Park Ave,2131.0,42.2783,-71.1188
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Deerfield St & Commonwealth Ave  Boston  MA  ,Fenway / Kenmore / Audubon Circle / Longwood,INTERSECTION Deerfield St & Commonwealth Ave,,42.3594,-71.0587
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,125 Homestead St  Dorchester  MA  02121,Roxbury,125 Homestead St,2121.0,42.311,-71.0891
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,90 Commonwealth Ave  Boston  MA  02116,Back Bay,90 Commonwealth Ave,2116.0,42.3521,-71.0757
Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,271 Dartmouth St  Boston  MA  02116,Back Bay,271 Dartmouth St,2116.0,42.3507,-71.0773
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,907 Morton St  Mattapan  MA  02126,Greater Mattapan,907 Morton St,2126.0,42.2804,-71.0835
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,1241 Adams St  Mattapan  MA  02124,Dorchester,1241 Adams St,2124.0,42.2713,-71.0694
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,36 Hancock St  Boston  MA  02114,Beacon Hill,36 Hancock St,2114.0,42.3599,-71.0642
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,39 Millmont St  Roxbury  MA  02119,Roxbury,39 Millmont St,2119.0,42.3275,-71.0909
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,1602 Blue Hill Ave  Mattapan  MA  02126,Greater Mattapan,1602 Blue Hill Ave,2126.0,42.2691,-71.0933
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,79 Rosseter St  Dorchester  MA  02121,Dorchester,79 Rosseter St,2121.0,42.3032,-71.0744
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,64 Rexford St  Mattapan  MA  02126,Greater Mattapan,64 Rexford St,2126.0,42.2693,-71.0956
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,27-29 Lyon St  Dorchester  MA  02122,Dorchester,27-29 Lyon St,2122.0,42.3065,-71.0601
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,157 Homestead St  Dorchester  MA  02121,Roxbury,157 Homestead St,2121.0,42.3103,-71.0882
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,233 Washington St  Dorchester  MA  02121,Dorchester,233 Washington St,2121.0,42.3017,-71.0774
